rank sepolia arbitrumSepolia baseSepolia zksyncSepolia
177 40.19 39.84 204.71 180.28
178 40.26 39.86 204.73 180.32
179 40.30 39.92 204.73 180.33
180 40.34 40.08 204.75 180.35
181 40.47 40.12 204.75 180.38
182 40.54 40.12 204.76 180.44
183 40.54 40.13 204.76 180.57
184 40.59 40.17 204.77 180.89
185 40.60 40.22 204.77 181.04
186 40.65 40.29 204.77 182.58
187 40.68 40.42 204.78 183.14
188 40.75 40.45 204.78 183.55
189 40.80 40.48 204.79 184.58
190 40.83 40.58 204.80 184.75
191 40.87 40.59 204.80 185.43
192 40.92 40.71 204.80 191.33
193 40.92 40.71 204.80 195.61
194 41.08 40.79 204.82 197.12
195 41.13 40.85 204.82 199.39
196 41.15 40.86 204.82 199.53
197 41.20 40.93 204.82 199.58
198 41.26 41.03 204.82 202.80
199 41.29 41.06 204.84 202.82
200 41.45 41.08 204.84 203.09
201 41.60 41.11 204.85 203.24
202 41.62 41.16 204.85 203.43
203 41.64 41.17 204.86 203.58
204 41.74 41.25 204.86 203.60
205 41.92 41.26 204.87 203.87
206 41.95 41.29 204.87 203.90
207 41.96 41.42 204.88 203.92
208 42.00 41.42 204.88 203.97
209 42.09 41.45 204.90 204.07
210 42.14 41.47 204.90 204.09
211 42.15 41.61 204.91 204.11
212 42.29 41.66 204.91 204.39
213 42.32 41.72 204.92 204.42
214 42.38 41.99 204.92 204.45
215 42.46 42.01 204.92 204.51
216 42.58 42.02 204.92 204.52
217 42.61 42.04 204.93 204.52
218 42.68 42.07 204.93 204.54
219 42.74 42.12 204.93 204.55
220 42.74 42.23 204.94 204.57
221 42.77 42.33 204.96 204.57
222 42.88 42.37 204.96 204.58
223 42.88 42.38 204.96 204.60
224 43.05 42.38 204.97 204.60
225 43.06 42.44 204.97 204.62
226 43.10 42.48 204.98 204.62
227 43.14 42.52 204.99 204.63
228 43.25 42.57 204.99 204.64
229 43.42 42.66 205.00 204.65
230 43.47 42.77 205.01 204.66
231 43.64 42.80 205.01 204.66
232 43.99 42.95 205.03 204.68
233 43.99 42.97 205.03 204.68
234 44.16 42.97 205.03 204.72
235 44.38 42.99 205.03 204.72
236 44.56 43.00 205.03 204.73
237 44.62 43.07 205.06 204.73
238 44.69 43.12 205.07 204.73
239 44.69 43.24 205.09 204.74
240 44.75 43.34 205.11 204.74
241 44.77 43.40 205.11 204.75
242 45.05 43.45 205.13 204.75
243 45.05 43.48 205.17 204.77
244 45.40 43.53 205.19 204.79
245 45.44 43.65 205.20 204.79
246 45.62 43.74 205.23 204.80
247 45.67 44.03 205.25 204.80
248 45.98 44.05 205.26 204.80
249 46.10 44.16 205.29 204.81
250 46.38 44.22 205.29 204.81
251 46.89 44.49 205.29 204.82
252 47.01 44.49 205.30 204.83
253 47.04 44.51 205.31 204.85
254 47.43 44.79 205.39 204.85
255 47.46 45.10 205.40 204.86
256 47.59 45.14 205.40 204.87
257 47.92 45.17 205.42 204.89
258 48.61 45.29 205.46 204.90
259 48.68 45.35 205.47 204.90
260 48.87 45.37 205.47 204.90
261 49.57 45.38 205.48 204.91
262 50.10 45.42 205.48 204.91
263 50.73 45.44 205.55 204.91
264 51.37 45.50 205.74 204.97
265 51.65 45.60 205.75 204.98
266 51.75 45.71 205.87 204.99
267 52.31 45.79 205.87 205.08
268 53.58 45.83 205.98 205.09
269 53.69 45.97 206.03 205.11
270 53.81 46.03 206.09 205.12
271 53.87 46.12 206.15 205.12
272 54.01 46.43 206.20 205.12
273 54.45 46.57 206.43 205.13
274 54.86 46.65 206.44 205.17
275 54.87 47.87 206.49 205.21
276 54.94 48.23 206.60 205.21
277 55.08 48.31 206.65 205.21
278 55.73 48.44 206.68 205.23
279 56.76 48.66 206.76 205.28
280 58.82 48.96 206.83 205.33
281 59.77 49.06 206.91 205.52
282 61.17 50.10 207.07 205.74
283 61.53 50.76 207.13 205.88
284 61.74 50.82 207.33 205.95
285 61.92 50.91 207.54 206.20
286 62.45 51.05 207.59 206.54
287 67.55 51.83 208.23 206.94
288 68.74 51.87 208.64 208.49
289 74.67 52.09 209.27 208.67
290 75.35 52.19 209.38 209.82
291 77.81 53.27 209.45 209.98
292 80.89 54.25 209.95 210.21
293 84.41 57.25 210.16 210.24
294 88.66 57.86 210.63 219.96
295 106.39 59.41 210.83 231.33
296 120.32 63.47 210.98 238.99
297 261.96 72.15 213.61 242.53
298 272.52 75.55 220.31 431.52
299 272.92 89.72 302.41 479.18
300 279.16 127.86 308.24 486.56
