batchSize sepolia arbitrumSepolia baseSepolia zksyncSepolia
1 0.031960695224 0.017856625624 0.000896817586 0.026454925000
10 0.003196821362 0.001785662562 0.000089681759 0.002300690000
100 0.000319682136 0.000178524256 0.000008968176 0.000230058500
1000 0.000031968214 0.000017856626 0.000000896818 0.000023101750
10000 0.000003196821 0.000001786083 0.000000089682 0.000002310175
